"","states2","states3","states4","states5","states6"
"1",1,1,1,1,1
"2",1,1,1,4,6
"3",1,1,1,4,6
"4",1,1,1,4,6
"5",1,1,1,4,6
"6",1,1,1,4,6
"7",1,1,1,4,6
"8",2,3,4,5,4
"9",2,3,3,3,2
"10",2,3,3,3,2
"11",2,3,3,3,2
"12",2,3,3,3,2
"13",1,1,1,1,1
"14",1,1,1,1,1
"15",1,1,1,1,1
"16",1,1,1,1,1
"17",1,1,4,4,6
"18",2,3,3,5,4
"19",2,3,3,3,2
"20",2,3,3,3,2
"21",2,3,3,3,2
"22",2,3,3,3,3
"23",2,3,3,3,4
"24",2,3,3,3,2
"25",2,3,3,3,2
"26",2,3,3,3,2
"27",2,3,3,3,2
"28",2,3,3,3,2
"29",1,1,1,1,1
"30",1,1,1,1,1
"31",1,1,1,4,6
"32",1,1,1,4,6
"33",1,1,1,4,6
"34",1,1,1,4,6
"35",1,1,4,5,4
"36",2,3,3,3,2
"37",2,3,3,3,3
"38",1,1,1,4,1
"39",1,1,1,4,6
"40",1,1,4,4,6
"41",2,2,2,5,5
"42",2,2,2,2,5
"43",2,2,2,2,5
"44",1,1,1,4,6
"45",1,1,1,4,6
"46",1,1,1,4,5
"47",1,1,1,1,1
"48",1,1,1,1,1
"49",1,1,4,4,6
"50",2,2,3,5,4
"51",2,2,3,3,2
"52",2,3,3,3,2
"53",2,3,3,3,2
"54",2,3,3,3,2
"55",1,1,1,1,3
"56",2,2,4,5,4
"57",2,3,3,3,2
"58",2,3,3,3,2
"59",2,3,3,3,2
"60",2,3,3,3,2
"61",2,1,1,4,3
"62",2,1,1,4,3
"63",2,3,4,5,4
"64",2,3,3,3,2
"65",1,1,1,4,3
"66",1,1,1,4,3
"67",2,2,4,5,4
"68",2,3,3,3,2
"69",2,3,3,3,2
"70",2,3,3,3,2
"71",2,3,3,3,2
"72",2,3,3,3,2
"73",2,3,3,3,2
"74",2,3,3,3,2
"75",2,3,3,3,2
"76",2,3,3,3,2
"77",2,3,3,3,2
"78",2,3,3,3,2
"79",2,3,3,3,2
"80",2,3,3,3,2
"81",2,3,3,3,2
"82",2,3,3,3,2
"83",2,3,3,3,2
"84",2,3,1,4,3
"85",2,3,4,5,4
"86",2,3,3,3,2
"87",2,3,3,3,2
"88",2,3,3,3,2
"89",2,3,3,3,2
"90",2,3,3,3,2
"91",2,3,3,3,2
"92",2,3,3,3,2
"93",1,1,1,1,1
"94",1,1,1,1,1
"95",1,1,1,1,1
"96",1,1,1,1,1
"97",1,1,1,4,6
"98",1,1,1,4,6
"99",2,2,4,5,4
"100",2,3,3,3,2
"101",2,3,3,3,2
"102",2,1,1,4,3
"103",2,2,4,5,3
"104",2,2,2,2,3
"105",2,2,2,2,3
"106",2,2,2,2,3
"107",2,2,2,2,4
"108",2,2,2,2,2
"109",2,2,2,2,2
"110",2,2,2,2,2
"111",2,3,3,3,2
"112",2,3,3,3,2
"113",2,3,3,3,2
"114",2,3,3,3,2
"115",2,3,3,3,2
"116",2,3,3,3,2
"117",2,3,3,3,2
"118",1,1,1,1,1
"119",1,1,1,4,6
"120",2,2,4,5,4
"121",2,2,3,3,2
"122",2,2,3,3,2
"123",1,1,1,1,1
"124",1,1,1,4,6
"125",2,2,4,5,5
"126",2,2,2,2,5
"127",2,2,2,2,5
"128",2,2,2,2,5
"129",2,2,2,2,5
"130",2,2,2,2,5
"131",2,2,2,2,5
"132",2,2,2,2,5
"133",2,2,2,2,5
"134",2,2,2,2,5
"135",1,1,1,1,1
"136",1,1,4,5,6
"137",2,2,2,2,5
"138",2,2,2,2,5
"139",1,1,1,4,6
"140",2,2,4,5,5
"141",2,2,2,3,5
"142",2,2,2,4,5
"143",2,2,2,5,5
"144",2,2,2,2,5
"145",2,2,2,2,5
"146",2,2,2,2,5
"147",2,2,2,2,5
"148",2,2,2,2,5
"149",2,2,2,2,5
"150",2,2,2,2,5
"151",2,2,2,2,5
"152",2,2,2,2,5
"153",2,2,2,2,5
"154",2,2,2,2,5
"155",2,2,2,2,5
"156",2,2,2,2,5
"157",2,2,2,2,6
