"","states2","states3","states4"
"355",2,2,2
"356",2,2,4
"357",2,3,4
"358",2,3,4
"359",2,3,4
"360",2,3,4
"361",2,3,4
"362",2,3,4
"363",1,1,2
"364",1,1,2
"365",1,1,1
"366",1,1,1
"367",1,2,2
"368",2,3,4
"369",2,3,4
"370",2,3,4
"371",2,2,4
"372",2,2,2
"373",2,2,2
"374",2,2,2
"375",1,2,2
"376",1,2,2
"377",1,2,2
"378",1,2,2
"379",1,2,2
"380",1,2,2
"381",1,2,2
"382",1,2,2
"383",1,2,2
"384",1,2,2
"385",1,2,2
"386",1,2,2
"387",1,1,1
"388",1,1,1
"389",1,2,2
"390",1,2,2
"391",1,2,2
"392",1,2,2
"393",2,2,2
"394",2,2,2
"395",2,2,4
"396",2,3,4
"397",2,3,4
"398",2,3,4
"399",2,3,4
"400",2,3,4
"401",2,3,4
"402",2,3,4
"403",2,3,4
"404",1,1,1
"405",1,1,1
"406",1,1,1
"407",1,1,2
"408",2,2,4
"409",2,2,4
"410",2,2,4
"411",2,2,4
"412",2,2,4
"413",2,2,4
"414",2,2,4
"415",1,2,2
"416",1,2,2
"417",1,2,2
"418",1,2,2
"419",1,2,2
"420",1,2,2
"421",1,2,2
"422",1,2,2
"423",1,2,2
"424",2,2,2
"425",2,3,4
"426",2,3,4
"427",2,3,4
"428",2,3,4
"429",2,3,4
"430",2,3,4
"431",2,3,4
"432",2,3,4
"433",2,3,4
"434",2,3,4
"435",2,2,3
"436",2,2,3
"437",2,3,3
"438",2,3,4
"439",2,3,4
"440",1,2,2
"441",1,2,2
"442",1,2,2
"443",1,2,2
"444",1,2,2
"445",1,1,1
"446",1,1,1
"447",1,2,2
"448",2,2,4
"449",2,2,4
"450",1,2,2
"451",1,2,2
"452",1,2,2
"453",1,2,2
"454",1,2,2
"455",1,2,2
"456",1,2,2
"457",2,2,4
"458",2,2,4
"459",2,2,2
"460",2,2,2
"461",2,2,2
"462",2,2,2
"463",2,2,2
"464",2,2,2
"465",2,2,2
"466",1,2,2
"467",1,2,2
"468",1,2,2
"469",1,2,2
"470",1,2,2
"471",2,2,2
"472",2,3,4
"473",2,3,4
"474",2,2,4
"475",2,2,4
"476",2,2,2
"477",1,2,2
"478",1,1,1
"479",1,1,1
"480",1,1,1
"481",1,2,2
"482",1,2,2
"483",1,2,2
"484",1,2,2
"485",1,2,2
"486",1,2,2
"487",1,2,2
"488",1,2,2
"489",1,2,2
"490",1,2,2
"491",1,1,1
"492",1,1,1
"493",1,2,2
"494",1,2,2
"495",1,2,2
"496",1,1,2
"497",1,1,1
"498",1,1,1
"499",1,1,1
"500",1,1,1
"501",1,1,1
"502",1,1,1
"503",1,1,1
"504",1,1,1
"505",1,2,2
"506",1,2,2
"507",1,2,2
"508",1,2,4
"509",1,2,4
"510",1,2,2
"511",1,2,2
"512",1,2,2
"513",1,2,2
"514",1,1,1
"515",1,1,1
"516",1,1,1
"517",1,1,1
"518",1,1,1
"519",1,2,2
"520",1,2,2
"521",2,2,2
"522",2,2,2
"523",2,2,4
"524",2,3,4
"525",2,3,4
"526",2,3,4
"527",2,3,4
"528",2,3,4
"529",2,3,4
"530",2,2,2
"531",2,2,2
"532",2,2,2
"533",2,2,2
"534",1,2,2
"535",1,2,2
"536",1,2,2
"537",1,2,2
"538",1,2,2
"539",1,2,2
"540",1,2,2
"541",1,2,2
"542",2,2,2
"543",2,2,4
"544",2,2,4
"545",2,2,4
"546",2,2,4
"547",2,2,4
"548",2,3,4
"549",2,3,4
"550",2,3,4
"551",2,3,4
"552",2,2,2
"553",2,2,2
"554",2,2,2
"555",2,3,4
"556",2,2,4
"557",1,1,1
"558",1,1,1
"559",1,1,1
"560",2,2,2
"561",2,2,4
"562",2,2,2
"563",2,2,2
"564",2,2,2
"565",2,2,2
"566",1,1,2
"567",1,1,1
"568",1,1,1
"569",1,2,2
"570",2,2,4
"571",2,2,4
"572",2,2,2
"573",1,1,2
"574",1,1,2
"575",1,1,2
"576",2,2,4
"577",2,2,4
"578",2,2,4
"579",2,2,4
"580",2,2,4
"581",2,2,2
"582",2,2,4
"583",2,2,4
"584",1,2,2
"585",1,1,1
"586",1,1,1
"587",1,1,1
"588",1,1,1
"589",1,1,2
"590",1,1,2
"591",1,1,1
"592",1,1,1
"593",1,1,1
"594",1,1,1
"595",1,1,1
"596",1,1,2
"597",1,2,4
"598",1,2,4
"599",1,2,2
"600",1,1,1
"601",1,1,1
"602",1,1,1
"603",1,1,1
"604",1,1,1
"605",1,1,1
"606",1,1,1
"607",1,1,1
"608",1,1,2
"609",1,1,2
"610",1,1,2
"611",1,1,2
"612",1,2,2
"613",1,2,2
"614",1,2,2
"615",1,1,1
"616",1,1,1
"617",1,1,1
"618",1,1,1
"619",1,1,1
"620",1,1,1
"621",1,1,1
"622",1,1,1
"623",1,1,1
"624",1,1,1
"625",1,2,2
"626",1,2,2
"627",1,2,2
"628",1,2,2
"629",1,2,2
"630",1,2,2
"631",1,2,2
"632",1,2,2
"633",1,1,2
"634",1,1,2
"635",1,1,2
"636",1,1,2
"637",1,1,2
"638",1,1,2
"639",1,1,1
"640",1,1,1
"641",1,1,1
"642",1,2,2
"643",1,2,2
"644",1,2,2
"645",1,2,2
"646",1,2,2
"647",1,2,2
"648",1,2,2
"649",1,2,2
"650",1,1,2
"651",1,1,2
"652",1,1,2
"653",1,1,1
"654",1,1,1
"655",1,1,1
"656",1,1,1
"657",1,1,1
"658",1,1,1
"659",1,1,1
"660",1,2,2
"661",2,2,2
"662",2,3,4
"663",2,3,4
"664",2,2,2
"665",2,2,2
"666",2,2,2
"667",2,2,2
"668",2,2,2
"669",2,2,2
"670",2,2,4
"671",2,2,4
"672",2,2,4
"673",2,2,2
"674",1,1,1
"675",1,1,1
"676",1,1,1
"677",1,1,1
"678",1,2,2
"679",2,3,4
"680",2,3,4
"681",2,3,4
"682",2,3,4
"683",2,3,4
"684",2,3,4
"685",2,3,4
"686",2,2,2
"687",2,2,2
"688",2,2,2
"689",2,2,2
"690",2,2,4
"691",2,2,4
"692",2,2,4
"693",1,2,2
"694",1,2,2
"695",1,2,2
"696",1,2,2
"697",1,2,2
"698",1,2,2
"699",1,2,2
"700",1,2,2
"701",1,2,2
"702",1,2,2
"703",1,2,2
"704",1,2,2
"705",1,2,2
"706",1,2,2
"707",1,1,2
"708",1,1,2
"709",1,1,2
"710",1,1,2
"711",1,1,2
"712",1,1,1
"713",1,1,1
"714",1,1,1
"715",2,2,2
"716",2,2,4
"717",2,2,4
"718",2,2,4
"719",2,2,2
"720",2,2,2
"721",1,1,1
"722",1,2,2
"723",1,2,2
"724",1,2,2
"725",1,2,2
"726",2,2,4
"727",2,2,4
"728",2,2,4
"729",2,2,4
"730",2,2,4
"731",2,2,4
"732",2,2,2
"733",2,2,2
"734",2,2,4
"735",2,2,4
"736",2,3,4
"737",2,3,4
"738",2,3,4
"739",2,3,4
"740",2,3,4
"741",2,3,4
"742",2,3,2
"743",2,3,4
"744",2,3,4
"745",2,2,2
"746",2,2,2
"747",2,3,4
"748",2,3,4
"749",2,3,4
"750",2,3,4
"751",2,3,4
"752",2,3,4
"753",2,3,4
"754",2,3,4
"755",2,3,4
"756",2,2,4
"757",2,2,4
"758",2,2,2
"759",2,2,2
"760",2,2,2
"761",2,3,4
"762",2,3,4
"763",2,3,4
"764",2,3,4
"765",2,3,4
"766",2,3,4
"767",2,3,4
"768",2,3,4
"769",2,3,4
"770",2,3,4
"771",2,3,4
"772",2,3,4
"773",2,3,4
"774",2,3,4
"775",2,3,4
"776",2,3,4
"777",2,3,4
"778",2,3,4
"779",2,2,4
"780",2,2,4
"781",2,2,2
"782",2,2,4
"783",2,3,4
"784",2,3,4
"785",2,3,4
"786",2,3,4
"787",2,3,4
"788",2,3,4
"789",2,3,4
"790",2,3,4
"791",2,2,4
"792",2,2,4
"793",2,2,2
"794",2,2,2
"795",2,2,2
"796",2,3,4
"797",2,3,4
"798",2,3,4
"799",2,3,4
"800",2,3,4
"801",2,3,4
"802",2,3,4
"803",2,3,4
"804",2,3,4
"805",2,3,3
"806",2,3,4
"807",2,3,4
"808",2,3,4
"809",2,3,4
"810",2,3,4
"811",2,3,4
"812",2,3,4
"813",2,3,4
"814",2,3,4
"815",2,3,4
"816",2,3,4
"817",1,2,2
"818",1,2,2
"819",1,2,2
"820",2,3,4
"821",2,3,4
"822",2,3,4
"823",2,3,4
"824",2,3,4
"825",2,2,4
"826",2,2,4
"827",2,2,4
"828",2,2,4
"829",2,3,4
"830",2,3,4
"831",2,3,4
"832",2,2,4
"833",2,2,2
"834",2,2,2
"835",2,2,4
"836",2,3,4
"837",2,3,4
"838",2,3,4
"839",2,3,4
"840",2,3,4
"841",2,3,4
"842",2,3,4
"843",2,3,4
"844",2,3,4
"845",2,3,4
"846",1,2,2
"847",1,2,2
"848",1,2,2
"849",1,2,2
"850",2,3,4
"851",2,3,4
"852",2,3,4
"853",2,2,4
"854",1,2,2
"855",1,2,2
"856",1,1,2
"857",1,1,2
"858",1,1,1
"859",1,1,1
"860",1,1,1
"861",1,1,1
"862",1,1,1
"863",1,2,2
"864",2,3,4
"865",2,3,4
"866",2,3,4
"867",2,3,4
"868",2,3,4
"869",2,3,4
"870",2,3,4
"871",2,3,4
"872",2,3,4
"873",2,3,4
"874",2,3,4
"875",2,3,4
"876",2,3,4
"877",2,2,2
"878",2,2,2
"879",2,2,2
"880",2,2,2
"881",2,2,4
"882",2,2,4
"883",2,2,2
"884",2,2,2
"885",2,2,4
"886",2,3,4
"887",2,3,4
"888",2,3,4
"889",2,3,4
"890",2,3,4
"891",2,2,4
"892",2,2,2
"893",2,2,2
"894",1,2,2
"895",1,1,1
"896",1,1,1
"897",1,1,2
"898",1,2,2
"899",2,2,4
"900",2,2,4
"901",2,2,4
"902",2,2,4
"903",2,2,4
"904",2,2,2
"905",2,2,2
"906",2,3,4
"907",2,3,4
"908",1,2,2
"909",1,1,2
"910",1,1,2
"911",1,1,1
"912",1,1,1
"913",1,1,1
"914",1,2,2
"915",1,2,2
"916",1,2,2
"917",1,2,2
"918",1,2,2
"919",1,2,2
"920",1,2,2
"921",1,2,2
"922",1,2,2
"923",1,2,2
"924",1,2,2
"925",1,2,2
"926",1,2,2
"927",1,2,2
"928",2,2,4
"929",2,2,2
"930",2,2,2
"931",2,2,2
"932",2,2,2
"933",2,2,4
"934",2,2,4
"935",2,2,4
"936",2,2,4
"937",2,2,2
"938",2,2,2
"939",2,3,4
"940",2,3,4
"941",2,3,4
"942",2,3,4
"943",2,2,2
"944",1,2,2
"945",1,2,2
"946",1,2,2
"947",1,2,2
"948",1,1,1
"949",1,1,1
"950",1,1,1
"951",1,2,2
"952",1,2,2
"953",1,2,2
"954",1,1,1
"955",1,1,1
"956",1,1,1
"957",1,1,1
"958",1,1,1
"959",1,1,1
"960",1,1,2
"961",1,1,1
"962",1,1,1
"963",1,1,1
"964",1,2,2
"965",1,2,2
"966",1,2,2
"967",1,2,2
"968",1,2,2
"969",1,2,2
"970",1,2,2
"971",1,1,1
"972",1,1,1
"973",1,1,1
"974",1,1,1
"975",1,1,1
"976",1,1,1
"977",1,2,2
"978",1,2,2
"979",1,1,1
"980",1,1,1
"981",1,1,1
"982",1,1,1
"983",1,2,2
"984",2,2,2
"985",2,2,2
"986",2,2,2
"987",2,2,2
"988",2,2,2
"989",2,2,2
"990",2,2,2
"991",2,2,2
"992",2,2,2
"993",2,2,4
"994",2,2,4
"995",2,2,4
"996",2,3,4
"997",2,3,3
"998",2,3,4
"999",2,3,4
"1000",2,3,4
"1001",2,3,4
"1002",2,3,4
"1003",2,3,4
"1004",2,3,4
"1005",2,2,4
"1006",2,2,4
"1007",2,2,2
"1008",2,2,2
"1009",2,2,2
"1010",2,2,2
"1011",2,2,2
"1012",1,1,1
"1013",1,1,1
"1014",1,1,1
"1015",1,1,1
"1016",1,1,1
"1017",1,1,1
"1018",1,2,2
"1019",1,2,2
"1020",1,2,2
"1021",2,2,4
